keys,th,en
MM_TITLE,Tower of Convergence,Tower of Convergence
MM_SUBTITLE,เทพปกรณัม,Theppakronam
MM_TAB_LOGIN,เข้าสู่ระบบ,Log In
MM_TAB_REGISTER,สมัครสมาชิก,Register
MM_PLACEHOLDER_EMAIL,อีเมล,Email
MM_PLACEHOLDER_PASSWORD,รหัสผ่าน,Password
MM_PLACEHOLDER_CONFIRM,ยืนยันรหัสผ่าน,Confirm Password
MM_BTN_GUEST,เล่นทันที,Play as Guest
MM_BTN_QUIT,ออกจากเกม,Quit
MM_ERR_EMAIL,อีเมลไม่ถูกต้อง,Invalid email address
MM_ERR_PASSWORD_SHORT,รหัสผ่านต้องมีอย่างน้อย 6 ตัวอักษร,Password must be at least 6 characters
MM_ERR_PASSWORD_MISMATCH,รหัสผ่านไม่ตรงกัน,Passwords do not match
MM_STATUS_LOADING,กำลังโหลด...,Loading...
MM_INFO_CONFIRM_EMAIL,กรุณายืนยันอีเมลก่อนเข้าสู่ระบบ,Please confirm your email before logging in
MM_ERR_REQUEST,"ผิดพลาด %d: %s","Error %d: %s"
CC_NAME_LABEL,ชื่อตัวละคร,Character Name
CC_NAME_PLACEHOLDER,"ใส่ชื่อ (สูงสุด 24 ตัวอักษร)","Enter name (max 24 chars)"
CC_HAIR_LABEL,ทรงผม,Hairstyle
CC_HAIR_COLOR_LABEL,สีผม,Hair Color
CC_SKIN_LABEL,สีผิว,Skin Tone
CC_OUTFIT_LABEL,สีเอี้ยม,Overalls Color
CC_OUTFIT2_LABEL,สีเสื้อ,Shirt Color
CC_BTN_CONFIRM,สร้างตัวละคร,Create Character
CC_BTN_BACK,กลับ,Back
CC_ERR_NO_NAME,⚠ กรุณาใส่ชื่อก่อน,⚠ Please enter a name
CC_STATUS_CREATING,กำลังสร้างตัวละคร...,Creating character...
CC_ERR_CREATE_FAILED,สร้างตัวละครไม่สำเร็จ — ลองใหม่,Failed to create character — try again
CC_ERR_REQUEST,"ผิดพลาด %d: %s","Error %d: %s"
HAIR_BALD,หัวล้าน,Bald
HAIR_BOWL,ทรงกะลา,Bowl
HAIR_CURLY,หัวหยิก,Curly
HAIR_LONG,ผมยาว,Long
HAIR_MOP,หัวเห็ด,Mop
HAIR_SHORT,ผมสั้น,Short
HAIR_SPIKY,ผมแหลม,Spiky
CS_HEADER,เลือกตัวละคร,Select Character
CS_LOADING,กำลังโหลด...,Loading...
CS_ERR_LOAD,โหลดข้อมูลไม่สำเร็จ — ลองใหม่อีกครั้ง,Failed to load — please try again
CS_DIVINITY_INFO,"เทพชั้น %d  |  หอ %d ชั้น %d","Divinity %d  |  Tower %d  Floor %d"
CS_BTN_PLAY,เล่น,Play
CS_BTN_DELETE,ลบตัวละคร,Delete
CS_BTN_NEW,สร้างตัวละครใหม่,New Character
CS_DELETE_TITLE,ลบตัวละคร,Delete Character
CS_DELETE_WARNING_LINE1,"พิมพ์ชื่อ ""%s"" เพื่อยืนยัน","Type ""%s"" to confirm"
CS_DELETE_WARNING_LINE2,การลบตัวละครจะไม่สามารถกู้คืนได้,This action cannot be undone
CS_DELETE_PLACEHOLDER,พิมพ์ชื่อตัวละครเพื่อยืนยัน,Type character name to confirm
CS_BTN_CONFIRM_DELETE,ยืนยันการลบ,Confirm Delete
CS_BTN_CANCEL,ยกเลิก,Cancel
CS_ERR_DELETE,"ลบไม่สำเร็จ (รหัส %d) — ลองอีกครั้ง","Delete failed (code %d) — try again"
CS_BTN_BACK,กลับ,Back
CS_UNKNOWN_NAME,ไม่ทราบชื่อ,Unknown
WM_UNKNOWN_CHAR,ไม่ทราบชื่อ,Unknown
WM_WORLD_ENERGY,"⚡ %d / 100","⚡ %d / 100"
WM_BATTLE_ENERGY,"🔋 %d / 10","🔋 %d / 10"
WM_LOCATION,"หอ %d  ชั้น %d","Tower %d  Floor %d"
WM_SURVIVAL_HUNGRY,หิว,Hungry
WM_SURVIVAL_THIRSTY,กระหาย,Thirsty
WM_SURVIVAL_TIRED,ล้า,Tired
WM_WARNING_PREFIX,"⚠  %s","⚠  %s"
WM_WARNING_SUFFIX,หยุดพักที่แคมป์,Rest at camp
WM_BTN_COMBAT,⚔ สู้,⚔ Fight
WM_BTN_INVENTORY,🎒 กระเป๋า,🎒 Inventory
WM_BTN_CRAFT,🌐 สกิล,🌐 Skills
WM_BTN_GACHA,✨ ดึง,✨ Gacha
WM_BTN_MENU,☰ เมนู,☰ Menu
WM_CAMP_ENERGY,"⚡ %d พลังงาน","⚡ %d Energy"
WM_CAMP_ENERGY_FREE,⚡ ฟรี,⚡ Free
WM_BTN_TRAVEL,เดินทาง,Travel
GACHA_TITLE,ห้องสุ่ม,Gacha
GACHA_BTN_PULL1,"สุ่ม ×1  (100 💎)","Pull ×1  (100 💎)"
GACHA_BTN_PULL10,"สุ่ม ×10  (900 💎)","Pull ×10  (900 💎)"
GACHA_BTN_CLOSE,กลับ,Back
GACHA_PULLING,กำลังสุ่ม...,Pulling...
GACHA_ERR_NO_GEMS,💎 อัญมณีไม่พอ,💎 Not enough gems
SKILL_ERR_REQUIREMENTS,ไม่ผ่านเงื่อนไขปลดล็อก,Requirements not met
